,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3159794,140461244,105862500629,572229733,0,194544273230,77817709
1,3159886,143888121,108813491429,433519886,0,199967896196,58814087
2,3159970,144072604,108950467438,588921445,0,200220518248,80088207
3,3160052,144076647,108954631713,588943955,0,200227848305,80091139
4,3160137,141129823,105852758811,572177074,0,194527087452,77810834
5,3160222,140524510,105866177679,572249609,0,194550918984,77820367
6,3160305,144060238,108967856176,589015438,0,200251934667,80100773
7,3160389,142174235,107336019417,580194699,0,197252530314,78901012
8,3160471,140304092,105722844766,571474836,0,194288349718,77715339
9,3160556,140469184,105846684982,572144243,0,194516224771,77806489
